"scenario" "rep" "k" "nodeName" "trueNodeAge" "estNodeAge" "error"
"468" "scenario1" "rep001" 5 "I24" 31.6844 16.8088 0.106254285714286
"469" "scenario1" "rep001" 5 "I25" 33.9221 34.1124 0.00135928571428572
"470" "scenario1" "rep001" 5 "I26" 37.7111 34.9639 0.0196228571428571
"471" "scenario1" "rep001" 5 "I27" 39.3061 35.2956 0.0286464285714286
"472" "scenario1" "rep001" 5 "I28" 49.2904 67.1715 0.127722142857143
"473" "scenario1" "rep001" 5 "I29" 54.541 38.4764 0.114747142857143
"474" "scenario1" "rep001" 5 "I3" 53.1728 22.4656 0.219337142857143
"475" "scenario1" "rep001" 5 "I30" 8.64398 8.5329 0.00079342857142858
"476" "scenario1" "rep001" 5 "I31" 18.7662 14.5364 0.0302128571428571
"477" "scenario1" "rep001" 5 "I32" 20.3792 14.865 0.0393871428571429
"478" "scenario1" "rep001" 5 "I33" 39.6276 102.6551 0.450196428571429
"479" "scenario1" "rep001" 5 "I34" 15.3699 13.82 0.0110707142857143
"480" "scenario1" "rep001" 5 "I35" 16.5318 29.1339 0.090015
"481" "scenario1" "rep001" 5 "I36" 17.1885 39.7077 0.160851428571429
"482" "scenario1" "rep001" 5 "I37" 18.0794 39.9435 0.156172142857143
"483" "scenario1" "rep001" 5 "I38" 24.2807 41.1809 0.120715714285714
"484" "scenario1" "rep001" 5 "I39" 25.3912 41.4114 0.11443
"485" "scenario1" "rep001" 5 "I4" 4.29313 6.8534 0.0182876428571429
"486" "scenario1" "rep001" 5 "I40" 26.2688 41.6696 0.110005714285714
"487" "scenario1" "rep001" 5 "I41" 27.3794 42.6682 0.109205714285714
"488" "scenario1" "rep001" 5 "I42" 33.9127 44.1762 0.0733107142857143
"489" "scenario1" "rep001" 5 "I43" 41.7203 51.1425 0.0673014285714286
"490" "scenario1" "rep001" 5 "I44" 43.2265 70.3431 0.19369
"491" "scenario1" "rep001" 5 "I45" 48.2767 72.0162 0.169567857142857
"492" "scenario1" "rep001" 5 "I46" 56.6923 72.4534 0.112579285714286
"493" "scenario1" "rep001" 5 "I47" 76.9586 102.6042 0.183182857142857
"494" "scenario1" "rep001" 5 "I48" 79.3105 103.0188 0.169345
