treeModel rep clockModel nodeID trueTime estTime p0025 p0975
D750_11_10 rep001 trilnormcave I54 3.00596 3.7671 2.323569369343101 5.720333098397232
D750_11_10 rep001 trilnormcave I55 7.79194 4.481 3.1040213195708963 8.036791375896382 
D750_11_10 rep001 trilnormcave I56 3.40031 4.4219 2.650812310061879 5.959162438901435
D750_11_10 rep001 trilnormcave I57 4.72786 4.1787 2.611268961037099 6.043176933858882
D750_11_10 rep001 trilnormcave I58 5.59743 5.8597 4.232968165561407 8.385664829996632
D750_11_10 rep001 trilnormcave I59 0.203015 5.18 1.5361317103775014 7.587016433606975
D750_11_10 rep001 trilnormcave I6 0.823905 1.6918 0.5042778251171686 2.897800330881083
D750_11_10 rep001 trilnormcave I60 1.7646 0.1342 0.001 0.9450047679621111 
D750_11_10 rep001 trilnormcave I61 19.1452 18.5136 14.66569954978977 21.472782921899434
D750_11_10 rep001 trilnormcave I62 13.708 13.1923 8.70679922496656 14.29800173118627
D750_11_10 rep001 trilnormcave I63 0.0902661 0.1566 0.001 0.8892861297626089
D750_11_10 rep001 trilnormcave I64 11.9398 13.8339 10.816930285989717 16.567466197725615 
D750_11_10 rep001 trilnormcave I65 2.0561 1.7891 0.7637551267057464 2.956534038968223
D750_11_10 rep001 trilnormcave I66 2.90585 3.6895 2.6785954109676617 6.943912051157973
D750_11_10 rep001 trilnormcave I67 0.313418 0.3898 0.001 1.8655515478162743
D750_11_10 rep001 trilnormcave I68 0.134422 0.1716 0.001 0.883169217525238
D750_11_10 rep001 trilnormcave I69 2.16142 2.4397 0.8964498063459417 3.9176099843367687
D750_11_10 rep001 trilnormcave I7 7.9685 7.9008 3.9269946079381133 11.957743312793504 
D750_11_10 rep001 trilnormcave I70 3.50792 3.163 1.522084008956524 4.284394666435819 
D750_11_10 rep001 trilnormcave I71 12.2544 12.7797 10.426685973810788 15.957246999270794 
D750_11_10 rep001 trilnormcave I72 3.61321 3.7694 2.1214142123278434 5.334009474153938
D750_11_10 rep001 trilnormcave I73 2.859 4.0559 2.23170958572826 5.23205414951538
D750_11_10 rep001 trilnormcave I74 0.754903 0.7398 0.051700436462134264 2.451475621441165
