treeModel rep clockModel nodeID trueAge estAge p0025 p0975
D750_11_10 rep001 trilnormvex I3 3.67959 5.979 0.6532 7.9553
D750_11_10 rep001 trilnormvex I30 12.5427 14.597 11.3667 15.1438
D750_11_10 rep001 trilnormvex I31 14.3835 16.7231 11.6189 16.2549
D750_11_10 rep001 trilnormvex I32 14.7713 16.9534 13.1033 17.3657
D750_11_10 rep001 trilnormvex I33 15.7713 17.0094 11.7329 16.2561
D750_11_10 rep001 trilnormvex I34 17.9513 17.5087 12.2924 17.3384
D750_11_10 rep001 trilnormvex I35 5.1901 5.8924 3.1059 9.2344
D750_11_10 rep001 trilnormvex I36 7.27136 8.0076 4.4828 9.3657
D750_11_10 rep001 trilnormvex I37 11.5093 12.4372 5.802 14.6701
D750_11_10 rep001 trilnormvex I38 13.3078 12.5789 6.4719 14.6711
D750_11_10 rep001 trilnormvex I39 23.1422 23.1677 22.9922 23.3657
D750_11_10 rep001 trilnormvex I4 4.93457 6.4213 1.4277 10.0032
D750_11_10 rep001 trilnormvex I40 13.2972 16.1337 5.0369 16.9307
D750_11_10 rep001 trilnormvex I41 16.7471 19.0319 15.3303 19.3657
D750_11_10 rep001 trilnormvex I42 19.4507 20.6604 17.7147 23.3653
D750_11_10 rep001 trilnormvex I43 23.6343 23.5004 18.8925 26.9678
D750_11_10 rep001 trilnormvex I44 28.727 28.5641 26.8231 29.3657
D750_11_10 rep001 trilnormvex I45 0.722128 3.181 -1.3203 5.6085
D750_11_10 rep001 trilnormvex I46 1.20355 3.2789 -0.1566 6.5684
D750_11_10 rep001 trilnormvex I47 2.6415 3.6547 0.1387 6.6819
D750_11_10 rep001 trilnormvex I48 3.34812 4.7069 1.0806 6.6877
D750_11_10 rep001 trilnormvex I49 4.12251 5.8349 1.3774 7.0721
D750_11_10 rep001 trilnormvex I5 6.83624 6.5107 2.064 11.3655
D750_11_10 rep001 trilnormvex I50 5.33835 6.046 2.0504 8.3098
D750_11_10 rep001 trilnormvex I51 5.72717 6.4575 3.4588 11.3657
D750_11_10 rep001 trilnormvex I52 5.70912 6.1776 2.1004 8.3109
D750_11_10 rep001 trilnormvex I53 6.0332 6.5638 2.9892 8.9676
D750_11_10 rep001 trilnormvex I54 9.03916 10.0401 6.1891 13.0672
D750_11_10 rep001 trilnormvex I55 16.8311 18.5829 13.1288 19.9525
