scenario rep k nodeName trueNodeAge estNodeAge
scenario1 rep007 3 I35 16.5318 14.154
scenario1 rep007 3 I36 17.1885 14.3258
scenario1 rep007 3 I37 18.0794 14.9079
scenario1 rep007 3 I38 24.2807 28.9828
scenario1 rep007 3 I39 25.3912 29.2672
scenario1 rep007 3 I4 4.29313 2.5831
scenario1 rep007 3 I40 26.2688 29.5592
scenario1 rep007 3 I41 27.3794 29.8713
scenario1 rep007 3 I42 33.9127 30.2014
scenario1 rep007 3 I43 41.7203 33.8536
scenario1 rep007 3 I44 43.2265 34.5184
scenario1 rep007 3 I45 48.2767 36.5685
scenario1 rep007 3 I46 56.6923 37.9148
scenario1 rep007 3 I47 76.9586 40.8607
scenario1 rep007 3 I48 79.3105 41.9021
scenario1 rep007 3 I49 52.3546 66.8603
scenario1 rep007 3 I5 9.33696 13.1301
scenario1 rep007 3 I50 58.469 67.7168
scenario1 rep007 3 I51 83.0134 68.0385
scenario1 rep007 3 I52 83.4521 78.5958
scenario1 rep007 3 I53 83.7694 78.8801
scenario1 rep007 3 I54 87.5096 79.7825
scenario1 rep007 3 I55 26.0402 29.5895
scenario1 rep007 3 I56 26.8496 29.9122
scenario1 rep007 3 I57 28.4881 30.564
scenario1 rep007 3 I58 45.7523 64.0435
scenario1 rep007 3 I59 89.2963 87.2781
scenario1 rep007 3 I6 33.1967 18.3704
scenario1 rep007 3 I60 31.2313 30.6074
scenario1 rep007 3 I61 31.807 30.9545
scenario1 rep007 3 I62 34.9944 48.6281
scenario1 rep007 3 I63 32.6694 31.227
scenario1 rep007 3 I64 33.8687 32.821
scenario1 rep007 3 I65 41.6289 33.7367
scenario1 rep007 3 I66 44.4088 33.9979
scenario1 rep007 3 I67 55.5269 34.2784
scenario1 rep007 3 I68 33.642 31.0093
scenario1 rep007 3 I69 33.6432 31.3872
scenario1 rep007 3 I7 6.9627 5.8994
scenario1 rep007 3 I70 39.5374 78.8224
scenario1 rep007 3 I71 41.25 96.9119
scenario1 rep007 3 I72 35.6755 43.9639
scenario1 rep007 3 I73 36.3187 44.2035
scenario1 rep007 3 I74 37.3101 44.4491
scenario1 rep007 3 I8 7.23236 6.2417
scenario1 rep007 3 I9 16.9771 46.191
scenario1 rep008 3 I0 0 -55.1109
scenario1 rep008 3 I1 1.89772 -54.6235
scenario1 rep008 3 I10 24.4452 96.2353
scenario1 rep008 3 I11 8.33087 -31.2604
scenario1 rep008 3 I12 52.2788 122.6472
scenario1 rep008 3 I13 8.5159 -30.8578
scenario1 rep008 3 I14 36.5605 38.5168
scenario1 rep008 3 I15 9.61193 -30.4554
scenario1 rep008 3 I16 18.552 -27.0258
scenario1 rep008 3 I17 64.4724 -8.7354
scenario1 rep008 3 I18 7.12688 -31.7437
scenario1 rep008 3 I19 12.9639 -7.2642
scenario1 rep008 3 I2 45.1116 17.8336
scenario1 rep008 3 I20 16.3031 11.3053
scenario1 rep008 3 I21 24.8599 25.1856
scenario1 rep008 3 I22 30.0471 35.2434
scenario1 rep008 3 I23 32.4873 92.5535
scenario1 rep008 3 I24 31.6844 36.7908
scenario1 rep008 3 I25 33.9221 38.3049
scenario1 rep008 3 I26 37.7111 38.585
scenario1 rep008 3 I27 39.3061 48.5461
scenario1 rep008 3 I28 49.2904 58.9535
scenario1 rep008 3 I29 54.541 64.5899
scenario1 rep008 3 I3 53.1728 34.7202
scenario1 rep008 3 I30 8.64398 -30.8122
scenario1 rep008 3 I31 18.7662 14.0009
scenario1 rep008 3 I32 20.3792 24.6124
scenario1 rep008 3 I33 39.6276 44.1172
scenario1 rep008 3 I34 15.3699 13.8946
scenario1 rep008 3 I35 16.5318 29.1334
scenario1 rep008 3 I36 17.1885 14.2469
scenario1 rep008 3 I37 18.0794 14.4239
scenario1 rep008 3 I38 24.2807 15.7157
scenario1 rep008 3 I39 25.3912 16.1252
scenario1 rep008 3 I4 4.29313 -32.5989
scenario1 rep008 3 I40 26.2688 16.9543
scenario1 rep008 3 I41 27.3794 17.3608
scenario1 rep008 3 I42 33.9127 40.2256
scenario1 rep008 3 I43 41.7203 41.0626
scenario1 rep008 3 I44 43.2265 51.3807
scenario1 rep008 3 I45 48.2767 52.6416
scenario1 rep008 3 I46 56.6923 53.7349
scenario1 rep008 3 I47 76.9586 58.6351
scenario1 rep008 3 I48 79.3105 59.0478
scenario1 rep008 3 I49 52.3546 55.7494
scenario1 rep008 3 I5 9.33696 9.3552
scenario1 rep008 3 I50 58.469 113.7561
scenario1 rep008 3 I51 83.0134 121.1976
scenario1 rep008 3 I52 83.4521 121.8627
scenario1 rep008 3 I53 83.7694 122.2097
scenario1 rep008 3 I54 87.5096 123.5516
scenario1 rep008 3 I55 26.0402 17.0485
scenario1 rep008 3 I56 26.8496 17.5102
scenario1 rep008 3 I57 28.4881 20.8492
scenario1 rep008 3 I58 45.7523 37.6316
scenario1 rep008 3 I59 89.2963 120.1368
