clockModel rep method brName estLength trueLength
scenario1 rep001 BEAST_lognorm I46 4.5048 8.41561
scenario1 rep001 BEAST_lognorm I47 23.0638 20.2663
scenario1 rep001 BEAST_lognorm I48 8.2395 2.35183
scenario1 rep001 BEAST_lognorm I49 3.0909 4.07786
scenario1 rep001 BEAST_lognorm I5 31.82 5.04383
scenario1 rep001 BEAST_lognorm I50 23.6257 6.11437
scenario1 rep001 BEAST_lognorm I51 20.3583 24.5444
scenario1 rep001 BEAST_lognorm I52 3.5768 0.438631
scenario1 rep001 BEAST_lognorm I53 4.314 0.317339
scenario1 rep001 BEAST_lognorm I54 8.9314 3.74023
scenario1 rep001 BEAST_lognorm I55 2.4825 0.649031
scenario1 rep001 BEAST_lognorm I56 2.4427 0.809405
scenario1 rep001 BEAST_lognorm I57 11.1001 1.6385
scenario1 rep001 BEAST_lognorm I58 9.4213 17.2643
scenario1 rep001 BEAST_lognorm I59 38.5505 43.5441
scenario1 rep001 BEAST_lognorm I6 47.0833 19.6967
scenario1 rep001 BEAST_lognorm I60 1.7506 4.38172
scenario1 rep001 BEAST_lognorm I61 5.6445 0.575665
scenario1 rep001 BEAST_lognorm I62 5.7728 3.18741
scenario1 rep001 BEAST_lognorm I63 6.1863 0.862363
scenario1 rep001 BEAST_lognorm I64 11.3916 1.1993
scenario1 rep001 BEAST_lognorm I65 12.8377 7.76023
scenario1 rep001 BEAST_lognorm I66 12.8668 2.77986
scenario1 rep001 BEAST_lognorm I67 15.9809 11.1181
scenario1 rep001 BEAST_lognorm I68 1.875 2.41062
scenario1 rep001 BEAST_lognorm I69 1.7927 0.00128
scenario1 rep001 BEAST_lognorm I7 10.3326 2.66957
scenario1 rep001 BEAST_lognorm I70 30.6502 5.89418
scenario1 rep001 BEAST_lognorm I71 12.9834 1.71254
scenario1 rep001 BEAST_lognorm I72 1.7536 2.03222
scenario1 rep001 BEAST_lognorm I73 2.8215 0.643278
scenario1 rep001 BEAST_lognorm I74 1.6646 0.991321
scenario1 rep001 BEAST_lognorm I8 7.0727 0.269661
scenario1 rep001 BEAST_lognorm I9 43.2812 9.74474
scenario1 rep001 BEAST_lognorm Ilex 66.4953 66.5
scenario1 rep001 BEAST_lognorm Illicium 79.414 106.803
scenario1 rep001 BEAST_lognorm Itea 50.8389 50.7034
scenario1 rep001 BEAST_lognorm Japonolirion 128.4777 115.14
scenario1 rep001 BEAST_lognorm Lilium 119.1522 108.316
scenario1 rep001 BEAST_lognorm Liquidambar 89.3894 94.2475
scenario1 rep001 BEAST_lognorm Liriodendron 86.4832 87.7211
scenario1 rep001 BEAST_lognorm Lonicera 14.6582 52.4904
scenario1 rep001 BEAST_lognorm Magnolia 86.4832 87.7211
scenario1 rep001 BEAST_lognorm Mauldinia 1.8311 2.33954
scenario1 rep001 BEAST_lognorm Meliosma 118.8609 123.468
scenario1 rep001 BEAST_lognorm Morus 99.9175 103.681
scenario1 rep001 BEAST_lognorm Musa 71.4709 90.7097
scenario1 rep001 BEAST_lognorm Myrtales 9.2514 17.7056
scenario1 rep001 BEAST_lognorm Nelumbo 107.5 107.3
scenario1 rep001 BEAST_lognorm Nerium 50.9867 63.0414
scenario1 rep001 BEAST_lognorm Nicotiana 42.7472 60.6895
scenario1 rep001 BEAST_lognorm Nuphar 69.9417 86.8275
scenario1 rep001 BEAST_lognorm Nymphaea 69.9417 86.8273
scenario1 rep001 BEAST_lognorm Orontium 113.5044 113.5
scenario1 rep001 BEAST_lognorm Oryza 83.7315 85.4591
scenario1 rep001 BEAST_lognorm Oxalis 60.859 98.75
scenario1 rep001 BEAST_lognorm Pachysandra 120.0104 121.921
scenario1 rep001 BEAST_lognorm Pandanus 97.2873 107.513
scenario1 rep001 BEAST_lognorm Papaver 94.7313 119.621
scenario1 rep001 BEAST_lognorm Paracryphia 14.6582 52.4904
scenario1 rep001 BEAST_lognorm Parnassia 60.859 98.7501
scenario1 rep001 BEAST_lognorm Pelargonium 96.743 105.006
scenario1 rep001 BEAST_lognorm Persea 101.492 101.1
scenario1 rep001 BEAST_lognorm Picramnia 84.9379 106.131
scenario1 rep001 BEAST_lognorm Piper 60.056 75.5275
scenario1 rep001 BEAST_lognorm Pisum 102.739 104.325
scenario1 rep001 BEAST_lognorm Platanus 107.5 107.3
scenario1 rep001 BEAST_lognorm Populus 73.8424 100.463
scenario1 rep001 BEAST_lognorm Pterostemon 50.8389 50.7034
scenario1 rep001 BEAST_lognorm Sapindopsis 11.3609 16.1682
scenario1 rep001 BEAST_lognorm Saururus 60.056 75.5275
scenario1 rep001 BEAST_lognorm Schisandra 79.414 106.803
scenario1 rep001 BEAST_lognorm Serenoa 86.9882 87.0001
scenario1 rep001 BEAST_lognorm Sparganium 60.9944 61.0683
scenario1 rep001 BEAST_lognorm Spathiphyllum 113.5044 113.5
scenario1 rep001 BEAST_lognorm Spinacia 102.1158 106.087
scenario1 rep001 BEAST_lognorm Tapiscia 59.2333 95.5911
scenario1 rep001 BEAST_lognorm Terminalia 87.4916 87.3001
scenario1 rep001 BEAST_lognorm Tricolpites 18.71 4.85603
scenario1 rep001 BEAST_lognorm Trimenia 126.4972 126.5
scenario1 rep001 BEAST_lognorm Trithuria 126.5075 126.5
scenario1 rep001 BEAST_lognorm Trochodendron 121.5013 122.811
scenario1 rep001 BEAST_lognorm Typha 60.9944 61.0685
scenario1 rep001 BEAST_lognorm Typhaceae 22.7371 24.3907
scenario1 rep001 BEAST_lognorm Virginianthus 32.5356 24.1841
scenario1 rep001 BEAST_lognorm Vitis 98.8107 111.512
scenario1 rep001 BEAST_lognorm Walkerpollis 9.0212 3.88808
scenario1 rep001 BEAST_lognorm Ximenia 112.6866 113.731
scenario1 rep001 BEAST_strict Acer 74.0733 98.3711
scenario1 rep001 BEAST_strict Acorus 179.3627 127.036
scenario1 rep001 BEAST_strict Amborella 183.1475 140
scenario1 rep001 BEAST_strict Anacostia 3.319 4.16305
scenario1 rep001 BEAST_strict Antirrhinum 55.9835 60.6895
scenario1 rep001 BEAST_strict Apostasia 162.4273 106.078
scenario1 rep001 BEAST_strict Aquifoliaceae 5.5218 21.1453
scenario1 rep001 BEAST_strict Araceae 64.0434 10.197
scenario1 rep001 BEAST_strict Archaefructus 55.7932 11.6023
scenario1 rep001 BEAST_strict Arecales 73.2592 15.2889
scenario1 rep001 BEAST_strict Asarum 159.7738 121.448
scenario1 rep001 BEAST_strict Ascarina 94.2372 115.555
scenario1 rep001 BEAST_strict Atherosperma 102.7499 103.44
scenario1 rep001 BEAST_strict Aucuba 73.5037 83.3077
scenario1 rep001 BEAST_strict Austrobaileya 129.7879 130.663
scenario1 rep001 BEAST_strict Berberidopsis 97.1496 112.621
scenario1 rep001 BEAST_strict Brasenia 124.5184 94.8882
scenario1 rep001 BEAST_strict Brunia 18.6307 56.548
scenario1 rep001 BEAST_strict Bulnesia 96.4363 106.358
scenario1 rep001 BEAST_strict Calamus 87.051 86.9999
scenario1 rep001 BEAST_strict Calycanthus 107.4867 107.3
scenario1 rep001 BEAST_strict Canella 126.6196 126.5
scenario1 rep001 BEAST_strict Carya 94.7173 95.1
scenario1 rep001 BEAST_strict Ceratophyllum 176.4631 131.356
scenario1 rep001 BEAST_strict Chloranthus 94.2372 115.555
scenario1 rep001 BEAST_strict Cleome 59.3193 84.4731
scenario1 rep001 BEAST_strict Cocculus 44.9716 100.372
scenario1 rep001 BEAST_strict Coptis 44.9716 100.372
scenario1 rep001 BEAST_strict Cornales 0.6665 10.9797
scenario1 rep001 BEAST_strict Cornus 87.3147 87.2999
scenario1 rep001 BEAST_strict Crossosoma 85.6673 107.331
scenario1 rep001 BEAST_strict Cucumis 95.005 102.69
scenario1 rep001 BEAST_strict Daucus 17.5834 56.2306
scenario1 rep001 BEAST_strict Dillenia 98.8398 113.96
scenario1 rep001 BEAST_strict Dioscorea 164.3034 107.513
scenario1 rep001 BEAST_strict Drimys 126.6196 126.5
scenario1 rep001 BEAST_strict Eichhornia 151.6991 90.7097
scenario1 rep001 BEAST_strict Endressinia 61.5222 16.1691
scenario1 rep001 BEAST_strict Enkianthus 78.9175 96.7737
scenario1 rep001 BEAST_strict Escallonia 19.5798 56.9866
scenario1 rep001 BEAST_strict Eucalyptus 87.4294 87.3
scenario1 rep001 BEAST_strict Eupomatia 115.5923 115.5
scenario1 rep001 BEAST_strict Euptelea 81.1529 121.234
scenario1 rep001 BEAST_strict Fagales 0.2877 7.58994
scenario1 rep001 BEAST_strict Fagus 94.7173 95.0999
scenario1 rep001 BEAST_strict Gossypium 59.3193 84.4734
scenario1 rep001 BEAST_strict Grubbia 87.3147 87.3
scenario1 rep001 BEAST_strict Gunnera 101.2878 115.719
scenario1 rep001 BEAST_strict Hedycarya 101.5548 101.1
