scenario rep method norm_rmse
scenario2 rep038 Blnorm 0.191119
scenario2 rep039 RelTime 0.123656
scenario2 rep039 MD-Cat 0.170018
scenario2 rep039 wLogDate 0.921343
scenario2 rep039 Blnorm 0.197515
scenario2 rep040 RelTime 0.121581
scenario2 rep040 MD-Cat 0.149642
scenario2 rep040 wLogDate 0.515202
scenario2 rep040 Blnorm 0.205222
scenario2 rep041 RelTime 0.119588
scenario2 rep041 MD-Cat 0.141196
scenario2 rep041 wLogDate 0.908314
scenario2 rep041 Blnorm 0.293036
scenario2 rep042 RelTime 0.133832
scenario2 rep042 MD-Cat 0.117862
scenario2 rep042 wLogDate 0.494001
scenario2 rep042 Blnorm 0.231693
scenario2 rep043 RelTime 0.121753
scenario2 rep043 MD-Cat 0.222066
scenario2 rep043 wLogDate 0.361868
scenario2 rep043 Blnorm 0.185733
scenario2 rep044 RelTime 0.140048
scenario2 rep044 MD-Cat 0.140014
scenario2 rep044 wLogDate 0.271617
scenario2 rep044 Blnorm 0.216629
scenario2 rep045 RelTime 0.102016
scenario2 rep045 MD-Cat 0.123553
scenario2 rep045 wLogDate 0.335225
scenario2 rep045 Blnorm 0.176471
scenario2 rep046 RelTime 0.108222
scenario2 rep046 MD-Cat 0.164778
scenario2 rep046 wLogDate 0.339411
scenario2 rep046 Blnorm 0.155527
scenario2 rep047 RelTime 0.103831
scenario2 rep047 MD-Cat 0.126649
scenario2 rep047 wLogDate 1.40728
scenario2 rep047 Blnorm 0.224805
scenario2 rep048 RelTime 0.107787
scenario2 rep048 MD-Cat 0.139624
scenario2 rep048 wLogDate 0.304362
scenario2 rep048 Blnorm 0.165271
scenario2 rep049 RelTime 0.123812
scenario2 rep049 MD-Cat 0.285794
scenario2 rep049 wLogDate 0.377537
scenario2 rep049 Blnorm 0.185712
scenario2 rep050 RelTime 0.148329
scenario2 rep050 MD-Cat 0.146634
scenario2 rep050 wLogDate 0.247786
scenario2 rep050 Blnorm 0.218175
scenario2 rep051 RelTime 0.114031
scenario2 rep051 MD-Cat 0.09127
scenario2 rep051 wLogDate 0.500126
scenario2 rep051 Blnorm 0.238505
scenario2 rep052 RelTime 0.124827
scenario2 rep052 MD-Cat 0.14898
scenario2 rep052 wLogDate 0.237652
scenario2 rep052 Blnorm 0.178241
scenario2 rep053 RelTime 0.118987
scenario2 rep053 MD-Cat 0.13097
scenario2 rep053 wLogDate 0.309234
scenario2 rep053 Blnorm 0.293574
scenario2 rep054 RelTime 0.144619
scenario2 rep054 MD-Cat 0.169869
scenario2 rep054 wLogDate 0.340844
scenario2 rep054 Blnorm 0.245271
scenario2 rep055 RelTime 0.103374
scenario2 rep055 MD-Cat 0.155686
scenario2 rep055 wLogDate 0.299092
scenario2 rep055 Blnorm 0.261361
scenario2 rep056 RelTime 0.126005
scenario2 rep056 MD-Cat 0.116038
scenario2 rep056 wLogDate 0.252403
scenario2 rep056 Blnorm 0.197916
scenario2 rep057 RelTime 0.108904
scenario2 rep057 MD-Cat 0.121203
scenario2 rep057 wLogDate 0.404676
scenario2 rep057 Blnorm 0.165149
scenario2 rep058 RelTime 0.125733
scenario2 rep058 MD-Cat 0.151316
scenario2 rep058 wLogDate 0.421958
scenario2 rep058 Blnorm 0.212914
scenario2 rep059 RelTime 0.143196
scenario2 rep059 MD-Cat 0.187446
scenario2 rep059 wLogDate 0.359087
scenario2 rep059 Blnorm 0.217379
scenario2 rep060 RelTime 0.134679
scenario2 rep060 MD-Cat 0.0972621
scenario2 rep060 wLogDate 0.708871
scenario2 rep060 Blnorm 0.179766
scenario2 rep061 RelTime 0.111261
scenario2 rep061 MD-Cat 0.104129
scenario2 rep061 wLogDate 0.558421
scenario2 rep061 Blnorm 0.207929
scenario2 rep062 RelTime 0.143489
scenario2 rep062 MD-Cat 0.164342
scenario2 rep062 wLogDate 0.273057
scenario2 rep062 Blnorm 0.193933
scenario2 rep063 RelTime 0.113208
scenario2 rep063 MD-Cat 0.139746
scenario2 rep063 wLogDate 0.332151
scenario2 rep063 Blnorm 0.248367
scenario2 rep064 RelTime 0.146314
scenario2 rep064 MD-Cat 0.195931
scenario2 rep064 wLogDate 0.268261
scenario2 rep064 Blnorm 0.207013
scenario2 rep065 RelTime 0.116177
scenario2 rep065 MD-Cat 0.0916421
scenario2 rep065 wLogDate 0.812421
scenario2 rep065 Blnorm 0.170316
scenario2 rep066 RelTime 0.133985
scenario2 rep066 MD-Cat 0.157164
scenario2 rep066 wLogDate 0.493365
scenario2 rep066 Blnorm 0.270564
scenario2 rep067 RelTime 0.136577
scenario2 rep067 MD-Cat 0.155851
scenario2 rep067 wLogDate 0.471639
scenario2 rep067 Blnorm 0.241153
scenario2 rep068 RelTime 0.0984957
scenario2 rep068 MD-Cat 0.0975043
scenario2 rep068 wLogDate 0.264544
scenario2 rep068 Blnorm 0.184772
scenario2 rep069 RelTime 0.111924
scenario2 rep069 MD-Cat 0.0840721
scenario2 rep069 wLogDate 0.270475
scenario2 rep069 Blnorm 0.203329
scenario2 rep070 RelTime 0.126947
scenario2 rep070 MD-Cat 0.08212
scenario2 rep070 wLogDate 0.468831
scenario2 rep070 Blnorm 0.215412
scenario2 rep071 RelTime 0.0981086
scenario2 rep071 MD-Cat 0.084455
scenario2 rep071 wLogDate 0.324609
scenario2 rep071 Blnorm 0.189362
scenario2 rep072 RelTime 0.127416
scenario2 rep072 MD-Cat 0.116786
scenario2 rep072 wLogDate 0.521026
scenario2 rep072 Blnorm 0.152129
scenario2 rep073 RelTime 0.112536
scenario2 rep073 MD-Cat 0.0884564
scenario2 rep073 wLogDate 0.335085
scenario2 rep073 Blnorm 0.168105
