scenario method rep error
scenario3 wLogDate rep059 0.9938236069828006
scenario3 MD-Cat rep059 0.689062743591369
scenario3 wLogDate rep060 1.5367202407893537
scenario3 MD-Cat rep060 0.7124338823187625
scenario3 wLogDate rep061 2.0897020721075052
scenario3 MD-Cat rep061 0.7985944590904682
scenario3 wLogDate rep062 1.4152558669275102
scenario3 MD-Cat rep062 0.7457644573597247
scenario3 wLogDate rep063 1.3389258258309105
scenario3 MD-Cat rep063 0.6954953218748253
scenario3 wLogDate rep064 1.067411005833414
scenario3 MD-Cat rep064 0.63411750078419
scenario3 wLogDate rep065 1.3806009637330625
scenario3 MD-Cat rep065 0.6705463771573853
scenario3 wLogDate rep066 1.6395181335431566
scenario3 MD-Cat rep066 0.6943002520326329
scenario3 wLogDate rep067 0.8080611557731758
scenario3 MD-Cat rep067 0.8908199713650738
scenario3 wLogDate rep068 1.8432907586255118
scenario3 MD-Cat rep068 0.7552194100905506
scenario3 wLogDate rep069 1.7021253189344232
scenario3 MD-Cat rep069 0.7977203478695842
scenario3 wLogDate rep070 1.8317078368738144
scenario3 MD-Cat rep070 0.8011362299280864
scenario3 wLogDate rep071 1.9742518094019184
scenario3 MD-Cat rep071 0.7602507641586869
scenario3 wLogDate rep072 2.588024220801751
scenario3 MD-Cat rep072 0.9850371082855135
scenario3 wLogDate rep073 0.8389965591401521
scenario3 MD-Cat rep073 0.8286196766487562
scenario3 wLogDate rep074 1.5113866008167416
scenario3 MD-Cat rep074 0.6297522663326109
scenario3 wLogDate rep075 1.5661612750420792
scenario3 MD-Cat rep075 0.8669308812485758
scenario3 wLogDate rep076 1.338234820333836
scenario3 MD-Cat rep076 0.6788344944865289
scenario3 wLogDate rep077 1.5057164604865034
scenario3 MD-Cat rep077 0.6617114029586822
scenario3 wLogDate rep078 1.146606654877826
scenario3 MD-Cat rep078 0.8181603233558344
scenario3 wLogDate rep079 1.2411859263469105
scenario3 MD-Cat rep079 0.9652746136035882
scenario3 wLogDate rep080 1.5007935496865454
scenario3 MD-Cat rep080 0.7433249461725339
scenario3 wLogDate rep081 1.3910012470347484
scenario3 MD-Cat rep081 0.7662442445793218
scenario3 wLogDate rep082 1.479917551459748
scenario3 MD-Cat rep082 0.9167509783150491
scenario3 wLogDate rep083 1.3612630491740767
scenario3 MD-Cat rep083 0.6117773234050062
scenario3 wLogDate rep084 2.39327617917608
scenario3 MD-Cat rep084 0.6346635988478442
scenario3 wLogDate rep085 1.293815771224002
scenario3 MD-Cat rep085 0.6230377878059356
